3,5,7,14,28,29
7,15,24,27,38,39
5,8,12,16,29,34
9,12,22,31,34,35
13,17,26,27,38,40
5,10,11,14,17,34
6,15,35,37,39,40
21,22,24,25,31,32
3,10,13,15,23,33
1,8,20,27,30,39
2,7,12,18,20,40
3,7,14,19,24,39
16,20,24,30,32,33
2,3,20,24,27,30
7,11,17,19,36,37
8,13,14,29,38,39
2,6,8,21,23,39
5,11,22,27,31,34
4,7,9,12,31,33
9,14,17,28,36,37
8,14,24,29,31,40
2,3,11,12,25,34
14,21,29,30,37,38
20,21,22,23,32,34
6,9,10,11,14,34
2,8,13,24,30,31
18,21,22,25,32,34
4,8,24,30,33,35
11,19,24,27,35,36
13,15,24,28,33,37
4,9,13,22,25,29
7,13,16,18,22,37
5,6,9,12,27,29
11,16,20,23,31,38
1,16,22,29,39,40
1,2,8,12,21,36
5,8,23,32,34,36
5,9,10,12,36,40
3,11,12,23,29,37
17,19,22,26,38,40
6,9,16,30,32,38
1,22,25,27,37,39
19,22,27,30,34,39
2,3,18,20,23,28
7,21,23,29,30,32
10,14,17,25,36,38
6,9,12,31,38,39
9,13,19,27,29,36
1,6,9,15,17,28
1,12,34,35,37,39
5,6,15,16,20,34
17,20,21,22,39,40
2,3,25,30,35,40
10,17,19,21,26,35
18,22,25,31,35,37
4,13,16,18,20,28
5,10,21,26,27,36
7,10,17,27,33,37
3,4,8,10,23,38
1,2,3,29,30,38
5,8,21,23,24,28
11,25,29,33,37,38
4,5,11,18,27,29
1,6,22,33,37,40
1,6,16,17,31,33
2,4,19,26,28,35
5,18,25,34,35,38
2,6,13,18,24,28
10,16,17,27,29,38
3,4,16,31,33,36
2,11,21,27,32,38
3,11,12,14,23,34
4,12,19,26,33,35
6,7,30,35,36,38
9,14,18,24,29,30
3,14,15,16,21,31
1,9,12,26,30,40
14,16,18,23,24,29
11,15,25,27,31,39
7,14,17,26,34,40
2,6,9,24,30,33
4,6,18,19,37,39
2,5,16,21,32,37
10,18,19,30,34,35
6,12,15,25,27,35
4,10,14,22,27,29
2,7,16,21,27,40
2,6,18,33,35,36
14,21,22,35,36,39
16,18,19,24,25,29
1,23,31,35,36,39
1,9,27,30,33,37
1,5,9,19,31,39
8,11,12,14,29,34
7,13,14,18,27,30
1,11,13,20,26,40
6,8,13,26,27,29
6,13,19,26,34,39
12,17,23,28,33,34
3,7,10,26,27,39
3,14,25,28,32,38
15,17,18,19,26,32
1,11,14,15,33,40
5,20,23,26,33,36
2,3,18,32,39,40
3,8,11,12,19,22
5,17,25,26,30,35
1,3,6,13,19,27
6,8,13,19,23,38
2,11,21,26,33,35
1,5,8,12,16,26
13,21,25,31,37,39
8,12,27,30,37,40
13,16,21,22,30,35
1,18,29,40,25,7
2,4,8,13,16,31
12,14,32,33,35,36
1,8,10,14,36,37
2,3,16,18,34,37
4,7,18,24,29,35
4,6,18,19,28,32
8,12,28,31,33,35
3,11,25,26,35,38
4,6,16,21,33,40
7,12,17,22,26,28
2,28,29,31,38,40
2,7,10,14,24,33
6,7,22,24,29,35
12,15,18,20,22,27
4,5,10,17,23,31
17,25,26,28,36,39
4,8,10,18,21,22
4,7,9,18,29,37
10,20,33,36,38,40
4,5,12,14,25,35
13,18,20,25,27,35
8,21,24,29,34,37
11,19,22,27,29,35
1,14,17,18,24,37
2,3,10,18,32,40
1,10,15,30,38,40
8,9,17,24,25,38
10,22,26,35,36,40
21,28,30,33,35,37
1,5,18,20,24,33
2,4,9,14,28,32
2,4,10,17,24,32
2,14,17,18,25,36
2,7,11,14,22,40
16,22,24,29,32,37
1,3,6,11,24,32
6,11,15,18,26,35
3,4,15,18,20,26
6,9,15,16,18,21
1,7,8,14,25,37
12,19,27,33,35,39
15,23,30,37,39,40
3,14,15,19,24,30
12,13,16,22,24,28
4,9,11,13,24,31
6,9,25,31,38,40
1,8,20,22,30,38
18,20,22,28,33,34
8,11,15,16,21,26
13,20,23,26,31,36
2,5,11,16,34,40
13,22,27,29,32,37
16,18,19,22,23,26
1,5,7,28,37,39
4,6,16,24,32,39
7,14,15,27,30,36
1,7,14,29,30,39
1,9,10,22,26,32
1,13,24,26,29,34
1,18,26,32,37,38
1,6,16,24,38,39
8,12,17,22,30,36
5,22,28,34,38,39
11,15,19,24,29,34
3,10,24,25,26,30
3,8,15,29,34,38
5,11,16,28,29,30
1,18,23,31,32,33
5,9,15,18,32,34
1,2,3,6,14,30
21,23,25,33,35,38
7,16,25,29,34,36
5,7,17,20,28,39
1,8,12,29,30,31
2,6,12,16,27,29
12,17,22,30,33,37
7,11,12,14,26,36
12,17,21,23,27,40
2,4,25,26,36,39
7,10,12,27,34,37
7,11,21,22,36,37
3,8,11,12,13,27
3,11,16,22,30,34
1,6,12,15,35,36
6,7,8,19,20,26
5,10,15,32,36,40
13,16,18,21,22,27
5,13,15,28,34,39
4,7,17,22,32,40
1,5,10,13,21,25
1,5,10,16,38,40
3,10,16,24,29,37
17,20,27,30,33,39
12,17,24,25,28,38
6,14,17,27,37,38
8,12,15,19,23,37
1,13,20,25,31,36
7,8,17,28,36,39
2,3,22,27,38,40
1,9,20,37,39,40
5,13,14,20,22,36
5,15,20,26,28,35
7,11,14,19,20,32
1,6,8,25,27,33
6,32,34,36,38,40
1,5,20,27,33,35
3,4,15,20,28,37
12,17,25,27,35,38
9,10,13,22,26,39
3,8,17,25,26,38
4,6,7,21,32,36
2,3,9,22,24,25
8,15,16,21,35,37
1,10,18,20,35,40
5,8,24,35,38,40
4,5,15,17,26,34
12,16,20,28,34,38
4,5,13,18,25,28
7,8,11,21,34,37
6,12,13,16,28,36
2,8,13,15,38,40
15,23,29,30,39,40
4,8,9,13,16,32
3,14,19,23,29,35
10,14,17,24,31,32
4,5,14,17,24,29
2,5,8,30,31,32
5,7,18,19,28,39
1,9,10,30,38,40
3,12,21,26,37,39
16,21,24,27,30,37
10,16,22,24,26,32
3,7,13,22,24,38
1,5,6,10,17,24
6,13,18,23,28,34
11,12,17,21,33,39
5,7,22,25,31,38
6,11,14,15,27,36
7,19,33,34,37,38
1,3,5,22,25,37
1,2,18,22,25,33
10,16,19,24,29,33
3,17,29,34,35,38
3,5,6,16,25,38
4,14,16,23,35,38
6,8,12,13,35,39
1,12,15,21,22,29
2,3,7,8,14,26
5,12,19,28,29,31
2,14,21,22,24,38
17,20,25,30,32,38
4,9,12,28,30,36
3,4,6,10,19,38
1,7,19,23,28,38
6,7,15,26,28,33
3,24,26,28,32,39
5,9,19,25,27,31
3,5,15,17,31,40
12,18,26,27,28,37
6,8,9,21,28,34
12,24,27,28,33,36
1,4,7,8,31,36
7,11,13,14,22,36
2,10,13,14,30,31
7,8,19,36,39,40
4,11,18,35,37,39
5,8,21,23,25,31
4,5,20,26,27,31
2,15,21,28,32,36
7,12,14,16,22,34
6,31,34,35,36,37
10,15,24,33,37,40
12,13,14,16,17,23
9,18,20,25,36,39
2,13,16,21,37,39
6,13,15,18,27,29
1,9,11,23,26,34
1,7,10,15,20,35
3,4,5,19,20,23
1,12,19,24,26,32
12,16,18,21,29,40
1,4,12,21,30,32
31,32,33,35,36,38
9,11,22,34,35,40
3,21,23,24,27,28
3,7,21,31,33,35
2,7,20,26,28,30
4,7,13,31,33,34
3,8,15,19,25,30
5,8,15,22,30,34
7,12,13,14,21,24
3,4,18,20,26,31
2,6,16,20,26,33
6,14,33,34,36,38
1,7,10,20,34,40
8,14,20,29,36,39
4,10,20,21,32,34
7,11,13,17,26,28
5,15,22,33,37,40
2,4,8,14,33,38
6,13,15,20,30,38
1,21,32,34,38,40
7,9,10,28,34,40
1,4,24,30,35,36
1,7,10,12,23,39
6,11,14,17,19,40
1,7,8,20,34,40
6,10,19,25,30,38
11,13,17,18,32,36
1,4,5,21,27,37
7,28,29,30,32,37
3,7,9,17,32,33
2,7,22,25,33,34
6,13,22,25,28,33
4,8,32,34,37,38
17,21,33,35,37,39
1,8,14,33,37,38
8,19,20,24,35,39
5,6,18,22,30,34
1,9,10,23,24,30
2,24,29,31,35,37
4,9,22,32,35,38
6,19,25,29,31,33
17,18,23,30,39,40
7,21,25,26,36,39
1,7,20,28,30,38
9,15,18,19,31,39
10,11,14,23,24,31
11,14,18,22,26,38
4,10,12,23,25,35
5,7,12,28,33,34
9,10,12,14,22,23
9,20,22,25,30,39
7,9,30,31,38,40
6,7,9,22,25,36
3,10,14,21,24,32
23,25,26,27,34,35
14,17,28,32,35,39
1,14,16,25,37,39
2,14,18,24,26,38
2,6,7,16,21,40
5,12,16,19,24,27
5,21,28,34,35,36
8,10,12,21,22,26
10,11,24,27,32,40
16,19,24,27,31,39
16,17,23,30,32,38
1,8,12,22,30,39
9,17,21,27,35,36
7,8,10,16,17,40
5,8,15,23,33,37
1,21,22,24,33,40
19,21,22,34,36,39
1,7,15,21,31,37
7,11,26,29,31,37
3,4,20,25,26,37
8,15,19,24,31,40
1,21,22,28,31,40
4,14,22,32,36,39
17,20,22,31,36,38
2,4,12,17,22,25
7,8,9,13,21,32
2,3,12,15,18,26
2,3,21,23,29,33
4,5,13,15,16,21
5,6,11,17,31,34
2,3,15,16,22,39
7,9,11,17,18,28
2,3,13,22,25,35
4,18,27,28,30,39
4,24,26,30,33,37
1,3,5,26,27,35
5,17,18,19,31,36
2,6,10,21,31,35
8,21,23,28,30,32
9,19,22,28,32,34
5,14,18,20,30,31
5,6,7,8,15,22
7,10,17,22,34,38
4,14,20,24,27,31
1,3,12,16,26,40
2,7,10,30,33,39
3,20,25,36,37,38
6,8,16,20,23,25
2,5,14,29,39,40
9,12,19,21,37,40
4,13,21,24,28,38
4,9,16,24,28,33
4,13,14,16,19,22
4,7,12,14,35,38
3,12,13,19,24,28
1,4,11,15,19,24
1,4,21,22,28,30
11,19,20,24,33,35
5,15,19,27,29,33
1,7,15,20,37,38
5,26,29,35,38,39
1,8,9,19,22,30
8,12,23,25,29,30
9,15,23,28,33,34
1,5,7,18,20,40
15,20,25,29,33,38
6,8,13,15,38,39
8,20,22,25,32,34
1,11,22,31,33,34
2,14,16,22,23,34
1,5,22,25,28,30
7,10,15,23,24,27
5,10,19,20,27,30
5,12,13,32,33,38
5,14,20,36,39,40
12,22,25,28,34,40
6,13,18,20,22,24
3,11,16,28,30,40
7,21,26,29,36,37
6,12,15,19,25,29
7,11,15,17,31,33
5,11,23,29,35,39
5,11,15,18,24,29
3,4,6,12,26,32
2,15,17,21,24,38
4,13,14,25,26,37
8,9,13,20,23,36
15,16,18,23,25,40
4,6,11,12,19,20
11,20,24,25,29,40
